,WINDCODE,ROE_AVG,ROE_BASIC,ROE_DILUTED,ROE_DEDUCTED,ROE_EXBASIC,ROE_EXDILUTED,ROE_ADD,ROA2,ROA,ROIC,ROP,ROE_YEARLY,ROA2_YEARLY,ROA_YEARLY,NETPROFITMARGIN,NETPROFITMARGIN_DEDUCTED,GROSSPROFITMARGIN,COGSTOSALES,NPTOCOSTEXPENSE,EXPENSETOSALES,OPTOEBT,PROFITTOGR,OPTOGR,EBITTOGR,GCTOGR,OPERATEEXPENSETOGR,ADMINEXPENSETOGR,FINAEXPENSETOGR,IMPAIRTOOP,EBITDATOSALES
2000-03-31,600519.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-30,600519.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-29,600519.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-29,600519.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-30,600519.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-29,600519.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-28,600519.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,600519.SH,22.0708,26.79,12.97,22.5133,27.33,13.2313,26.79,25.4213,14.4695,18.4595,565.1895310220162,22.0708,25.4213,14.4695,21.1592,20.696095365744405,82.2293,17.7707,49.53381793697633,24.946,100.47152353411167,21.1592,37.7085,37.1744,62.3629,14.1108,11.1901,-0.3549,0.0,38.06111144174362
2002-03-29,600519.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-28,600519.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-27,600519.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31,600519.SH,13.9976,13.86,13.21,14.0492,13.91,13.26,13.86,17.0903,10.6186,12.7543,425.1071553049922,13.9976,17.0903,10.6186,21.3955,20.61087027118366,81.44,18.56,45.17788835711907,28.7984,99.96224895210014,21.3955,35.3766,34.4354,64.7995,16.7953,12.9548,-0.9516,,35.25021611594283
2003-03-31,600519.SH,7.3476,,7.09,,,7.08,,8.6598,5.7469,6.911,2351.4959294351333,29.3904,34.6392,22.9876,30.6754,,81.4576,18.5424,82.53014363418596,18.6263,99.96977517237049,30.6754,46.511,46.2238,53.6709,13.62,5.3076,-0.3013,,49.5690152254424
2003-06-30,600519.SH,8.4763,,8.13,8.4634,,8.119,,10.3372,6.6693,7.9701,1035.2388744373486,16.9526,20.6744,13.3386,26.0132,24.98765445809874,80.4827,19.5173,59.89109757474353,23.9169,99.86081303953513,26.0132,40.6982,40.3194,59.4737,14.714,9.6361,-0.4332,,44.01529522136318
2003-09-30,600519.SH,11.7003,,11.05,11.6695,,11.03,,13.9098,8.8076,11.0486,677.99666198506,15.6004,18.5464,11.7435,23.8167,22.770466406796643,80.5033,19.4967,53.47413738874266,25.042,99.74274572452674,23.8167,38.3035,37.6137,61.8117,15.9562,9.8744,-0.7886,,40.85719442891056
2003-12-31,600519.SH,18.6506,18.65,17.06,18.6111,18.61,17.02,18.61,21.6308,13.6994,17.5428,481.7999910284785,18.6506,21.6308,13.6994,25.354,24.38566450138033,80.1173,19.8827,54.427121428024975,26.7006,99.81006658638913,25.354,40.626,40.0328,59.4191,15.2126,12.1565,-0.6685,,42.69243869975027
2004-03-31,600519.SH,7.3218,,7.06,7.3215,,7.06,,8.04,5.5309,6.8941,3020.0944349687325,29.2872,32.16,22.1236,31.7929,30.640381698231998,82.2782,17.7218,81.61355005261223,21.2336,99.99664108411908,31.7929,47.0051,46.2161,52.9949,16.3763,5.6479,-0.7906,,47.90408319548645
2004-06-30,600519.SH,9.6601,9.66,9.21,9.6594,9.66,9.21,9.66,11.1977,7.2831,9.1155,1442.1515455704553,19.3202,22.3954,14.5662,27.7041,26.562629358612345,82.5021,17.4979,66.63591882079417,24.0774,99.99417523995349,27.7041,43.3518,42.5947,56.649,15.2146,9.6207,-0.7578,,44.807707782612106
2004-09-30,600519.SH,14.1191,,13.34,14.1161,,13.34,,16.1274,10.1667,13.1176,1233.6501098050549,18.8255,21.5032,13.5556,25.9885,24.896275387941127,82.2292,17.7708,61.53419515775668,24.4634,99.98164077301645,25.9885,42.2951,41.2254,57.709,16.3338,9.207,-1.0774,,43.329132330562565
2004-12-31,600519.SH,21.57,21.53,19.68,21.5241,21.48,19.64,21.48,25.8541,15.078,19.9258,875.8989507464248,21.57,25.8541,15.078,28.3798,27.204781966297936,82.2228,17.7772,71.35060299131925,21.9979,99.82789922303445,28.3798,49.4422,48.6625,50.5684,12.5099,10.3516,-0.8636,,50.87635808953104
